Date,Conference,Location,Title,Tags,Projects
2015-03-06,Collectivity in Small Colliding Systems with High Multiplicity Workshop,"Brookhaven National Lab, New York, United States",Principal Component Analysis and Subleading Flow,"invited, workshop",PCA
2015-03-27,Ohio-Region APS meeting,"Kent, Ohio, United States",Principal Component Analysis and Subleading Flow,parallel,PCA
2015-07-22,Correlations and Fluctuations in p+A and A+A Collisions,"INT, Seattle, Washington, United States",Principal Component Analysis and Subleading Flow,programme,PCA
2015-11-12,Columbia University,"Manhattan, New York, United States",Fluctuations of harmonic and radial flow in heavy ion collisions with principal components,seminar,PCA
2016-05-25,III Initial Stages,"Lisbon, Portugal",Initial conditions for hydrodynamics from weakly coupled pre-equilibrium evolution,"parallel, InitialStages","EKT, KoMPoST"
2016-06-15,Heidelberg University,"Heidelberg, Germany",Initial conditions for hydrodynamics from weakly coupled pre-equilibrium evolution,seminar,"EKT, KoMPoST"
2016-09-19,VII Hot Quarks,"South Padre Island, Texas, United States",Initial conditions for hydrodynamics from weakly coupled pre-equilibrium evolution,workshop,"EKT, KoMPoST"
2017-02-07,XXVI Quark Matter,"Chicago, Illinois, United States",Initial conditions for hydrodynamics from kinetic theory equilibration,"parallel, QuarkMatter","EKT, KoMPoST"
2017-06-15,XII Workshop on Particle Correlations and Femtoscopy,"Amsterdam, The Netherlands",Kinetic theory equilibration for realistic heavy ion initial conditions,"invited, workshop","EKT, KoMPoST"
2017-08-08,Critical Point and Onset of Deconfinement ,"Stony Brook, New York, United States",Out-of-equilibrium hydrodynamic fluctuations in the expanding QGP,"parallel, CPOD",PCA
2017-09-19,IV Initial Stages,"Krakow, Poland",Smooth matching of pre-equilibrium evolution to hydrodynamics in heavy ion collisions,"parallel, InitialStages","EKT, KoMPoST"
2017-10-02,XII High-pT Physics Workshop,"Bergen, Norway",Initial conditions for heavy ion collisions,"invited, workshop","EKT, KoMPoST"
2018-05-18,XXVII Quark Matter Conference,"Venice, Italy", Initial conditions for nuclear collisions: theory overview,"plenary, invited, QuarkMatter","EKT, KoMPoST"
2018-08-01,"XIII Quark Confinement and the Hadron Spectrum Conference,","Dublin, Ireland",2+1D simulations of pre-equilibrium stage with QCD kinetic theory,"parallel, invited, Confinement","EKT, KoMPoST"
2018-08-27,Probing the Quark-Gluon Plasma with collective phenomena and heavy quarks,"MIAPP, Munich, Germany",Pre-equilibrium stages with QCD kinetic theory,programme,"EKT, KoMPoST"
2018-10-02,Hard Probes 2018: International Conference on Hard and Electromagnetic Probes of High-Energy Nuclear Collisions  ,"Aix-Les-Bains, Savoie, France",2+1D simulations of pre-equilibrium stage with QCD kinetic theory,"parallel, HardProbes","EKT, KoMPoST"
2018-10-15,MIT,"Cambridge, Massachusetts, United States",Out-of-equilibrium Quark-Gluon Plasma dynamics with QCD kinetic theory,seminar,"EKT, KoMPoST"
2018-10-17,McGill University,"Montreal, Canada",Out-of-equilibrium Quark-Gluon Plasma dynamics with QCD kinetic theory,seminar,"EKT, KoMPoST"
2018-10-19,BNL,"Brookhaven National Lab, New York, United States",Out-of-equilibrium Quark-Gluon Plasma dynamics with QCD kinetic theory,seminar,"EKT, KoMPoST"
2018-10-29,CERN,"Geneva, Swtizerland",Out-of-equilibrium Quark-Gluon Plasma dynamics with QCD kinetic theory,seminar,"EKT, KoMPoST"
2018-12-28,7-asis Lietuvos jaunųjų matematikų susitikimas,"Vilnius, Lithuania",Reliatyvistinės Navjė-Stokso lygtys sunkiųjų jonų susidūrimų fizikoje,parallel,"EKT, KoMPoST"
2019-01-14,From QCD matter to hadrons International Workshop XLVII on Gross Properties of Nuclei and Nuclear Excitations,"Hirschegg, Austria",FastReso – fast resonance decays in nuclear collisions,workshop,FastReso
2019-01-22,IphT Saclay,"Paris, France",Chemical equilibration in hadronic collisions,seminar,"EKT, KoMPoST"
2019-02-21,CERN,"Geneve, Swtizerland",Chemical equilibration in hadronic collisions,seminar,"EKT, KoMPoST"
2019-04-05,AGH and PAN IFJ,"Krakow, Poland",Prescaling and Far-from-Equilibrium Hydrodynamics in the Quark-Gluon Plasma,seminar,"EKT, KoMPoST"
